Time,Average(A)
(us),(V)
0.98370046,1.957521
0.98770046,1.95889
0.99170046,1.960227
0.99570046,1.96153
0.99970046,1.962799
1.00370046,1.964036
1.00770046,1.96524
1.01170046,1.966411
1.01570046,1.967553
1.01970046,1.968663
1.02370046,1.969747
1.02770046,1.9708
1.03170045,1.971825
1.03570045,1.97282
1.03970045,1.973786
1.04370045,1.97473
1.04770045,1.975646
1.05170045,1.976531
1.05570045,1.977394
1.05970045,1.978232
1.06370045,1.979047
1.06770045,1.979838
1.07170045,1.980603
1.07570045,1.981349
1.07970045,1.982071
1.08370045,1.982769
1.08770045,1.983451
1.09170045,1.984107
1.09570045,1.984746
1.09970045,1.985362
1.10370045,1.98596
1.10770045,1.986541
1.11170045,1.987101
1.11570045,1.987645
1.11970045,1.988167
1.12370045,1.988679
1.12770045,1.989169
1.13170045,1.98964
1.13570045,1.990102
1.13970045,1.990543
1.14370045,1.990973
1.14770045,1.991386
1.15170045,1.991783
1.15570045,1.992168
1.15970045,1.99254
1.16370045,1.992898
1.16770045,1.993246
1.17170045,1.993576
1.17570045,1.993898
1.17970045,1.994209
1.18370045,1.994506
1.18770045,1.994791
1.19170045,1.995066
1.19570045,1.995333
1.19970045,1.995584
1.20370045,1.995831
1.20770045,1.996064
1.21170045,1.996288
1.21570045,1.996506
1.21970045,1.996711
1.22370045,1.996911
1.22770045,1.997102
1.23170045,1.997283
1.23570045,1.997457
1.23970045,1.997623
1.24370045,1.997786
1.24770045,1.997936
1.25170045,1.998082
1.25570045,1.99822
1.25970045,1.998353
1.26370045,1.998479
1.26770045,1.998591
1.27170045,1.998689
1.27570045,1.998772
1.27970045,1.99884
1.28370045,1.998897
1.28770045,1.998942
1.29170045,1.998968
1.29570045,1.998985
1.29970045,1.998994
1.30370045,1.998983
1.30770045,1.998962
1.31170045,1.998935
1.31570045,1.998889
1.31970045,1.998829
1.32370045,1.998755
1.32770045,1.998673
1.33170045,1.998572
1.33570045,1.998463
1.33970045,1.99834
1.34370045,1.998203
1.34770045,1.998056
1.35170045,1.997888
1.35570045,1.99771
1.35970045,1.99752
1.36370045,1.997316
1.36770045,1.997095
1.37170045,1.99686
1.37570045,1.996611
1.37970045,1.996347
1.38370044,1.996072
1.38770044,1.995784
1.39170044,1.995485
1.39570044,1.995171
1.39970044,1.994842
1.40370044,1.994503
1.40770044,1.994146
1.41170044,1.993777
1.41570044,1.993391
1.41970044,1.992992
1.42370044,1.992574
1.42770044,1.992142
1.43170044,1.991695
1.43570044,1.991226
1.43970044,1.990743
1.44370044,1.990238
1.44770044,1.989718
1.45170044,1.989177
1.45570044,1.988615
1.45970044,1.988038
1.46370044,1.987435
1.46770044,1.986814
1.47170044,1.986168
1.47570044,1.985503
1.47970044,1.984811
1.48370044,1.984099
1.48770044,1.983361
1.49170044,1.982599
1.49570044,1.981811
1.49970044,1.981
1.50370044,1.980156
1.50770044,1.979292
1.51170044,1.978396
1.51570044,1.977474
1.51970044,1.976522
1.52370044,1.975541
1.52770044,1.974526
1.53170044,1.973482
1.53570044,1.97241
1.53970044,1.971299
1.54370044,1.970157
1.54770044,1.968979
1.55170044,1.967769
1.55570044,1.966528
1.55970044,1.965251
1.56370044,1.96394
1.56770044,1.962597
1.57170044,1.96122
1.57570044,1.959808
1.57970044,1.958363
1.58370044,1.956881
1.58770044,1.955365
1.59170044,1.953808
1.59570044,1.952218
1.59970044,1.950595
1.60370044,1.948933
1.60770044,1.947231
1.61170044,1.94549
1.61570044,1.943711
1.61970044,1.941892
1.62370044,1.940035
1.62770044,1.938139
1.63170044,1.936203
1.63570044,1.934224
1.63970044,1.932203
1.64370044,1.930141
1.64770044,1.928038
1.65170044,1.925886
1.65570044,1.923691
1.65970044,1.921441
1.66370044,1.919146
1.66770044,1.9168
1.67170044,1.914402
1.67570044,1.911948
1.67970044,1.90944
1.68370044,1.906875
1.68770044,1.90426
1.69170044,1.901585
1.69570044,1.898859
1.69970044,1.896074
1.70370044,1.89323
1.70770044,1.890334
1.71170044,1.887372
1.71570044,1.884353
1.71970044,1.881272
1.72370044,1.878134
1.72770044,1.874924
1.73170044,1.871661
1.73570044,1.868329
1.73970043,1.864937
1.74370043,1.861476
1.74770043,1.857957
1.75170043,1.854369
1.75570043,1.850717
1.75970043,1.846997
1.76370043,1.843214
1.76770043,1.839358
1.77170043,1.835443
1.77570043,1.83146
1.77970043,1.827413
1.78370043,1.823301
1.78770043,1.819125
1.79170043,1.814887
1.79570043,1.810584
1.79970043,1.806218
1.80370043,1.801787
1.80770043,1.797289
1.81170043,1.792728
1.81570043,1.788103
1.81970043,1.783414
1.82370043,1.778659
1.82770043,1.773837
1.83170043,1.768952
1.83570043,1.764003
1.83970043,1.758988
1.84370043,1.753909
1.84770043,1.748762
1.85170043,1.74355
1.85570043,1.738279
1.85970043,1.732943
1.86370043,1.72754
1.86770043,1.722078
1.87170043,1.716549
1.87570043,1.710954
1.87970043,1.7053
1.88370043,1.699579
1.88770043,1.693797
1.89170043,1.687951
1.89570043,1.682042
1.89970043,1.676071
1.90370043,1.670033
1.90770043,1.663928
1.91170043,1.657755
1.91570043,1.651519
1.91970043,1.645213
1.92370043,1.638838
1.92770043,1.632396
1.93170043,1.62589
1.93570043,1.619312
1.93970043,1.612671
1.94370043,1.605964
1.94770043,1.599188
1.95170043,1.592345
1.95570043,1.585439
1.95970043,1.578464
1.96370043,1.571423
1.96770043,1.564317
1.97170043,1.557142
1.97570043,1.549909
1.97970043,1.542606
1.98370043,1.535241
1.98770043,1.527807
1.99170043,1.520313
1.99570043,1.512757
1.99970043,1.505142
2.00370043,1.497464
2.00770043,1.48973
2.01170043,1.481944
2.01570043,1.474104
2.01970043,1.466217
2.02370043,1.458272
2.02770043,1.450279
2.03170043,1.442236
2.03570043,1.434141
2.03970043,1.425996
2.04370043,1.417803
2.04770043,1.40956
2.05170043,1.40127
2.05570043,1.392939
